Product code,Product,Tahun,Ina Value,World Value,RCA 
0807,"Melons, incl. watermelons, and papaws (papayas), fresh",2017,0,27943,0.00
0903,Mate,2017,0,283,0.00
1001,Wheat and meslin,2017,0,1528840,0.00
1210,"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin",2017,0,48893,0.00
0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled",2017,4,45381,0.00
0809,"Apricots, cherries, peaches incl. nectarines, plums and sloes, fresh",2017,0,47694,0.00
1104,"Cereal grains otherwise worked, e.g. hulled, rolled, flaked, pearled, sliced or kibbled; germ ...",2017,55,42922,0.05
1214,"Swedes, mangolds, fodder roots, hay, alfalfa, clover, sainfoin, forage kale, lupines, vetches ...",2017,0,735745,0.00
1502,"Fats of bovine animals, sheep or goats (excluding oil and oleostearin)",2017,0,17836,0.00
0701,"Potatoes, fresh or chilled",2017,0,23582,0.00
0806,"Grapes, fresh or dried",2017,0,180233,0.00
0812,"Fruit and nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",2017,0,46608,0.00
1509,Olive oil and its fractions obtained from the fruit of the olive tree solely by mechanical ...,2017,0,309458,0.00
1514,"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically ...",2017,0,19102,0.00
1521,"Vegetable waxes, beeswax, other insect waxes and spermaceti, whether or not refined or coloured ...",2017,0,27078,0.00
0702,"Tomatoes, fresh or chilled",2017,0,26752,0.00
0805,"Citrus fruit, fresh or dried",2017,0,362150,0.00
0813,"""Dried apricots, prunes, apples, peaches, pears, papaws """"papayas"""", tamarinds and other edible ...",2017,0,52366,0.00
1004,Oats,2017,0,18933,0.00
1201,"Soya beans, whether or not broken",2017,0,1547212,0.00
1208,Flours and meals of oil seeds or oleaginous fruits (excluding mustard),2017,0,454,0.00
1505,"Wool grease and fatty substances derived therefrom, incl. lanolin",2017,0,16406,0.00
1508,"Groundnut oil and its fractions, whether or not refined, but not chemically modified",2017,0,1234,0.00
